,Team,Seed,Year,Efficiency Margin,Offensive Efficiency,Defensive Efficiency,Tempo,Luck,Strength of Schedule,Opponent Offense,Opponent Defense,Non-Conference Strength of Schedule
43,Penn,11,2002,12.18,108.1,95.9,66.8,-0.018,-1.81,100.7,102.5,2.3
44,Creighton,12,2002,11.82,109.3,97.5,68.5,0.029,1.64,103.4,101.8,2.39
45,Pepperdine,10,2002,11.7,108.9,97.2,74.0,0.062,3.43,103.8,100.4,10.14
46,UNC Wilmington,13,2002,11.37,105.4,94.0,65.3,-0.002,0.52,101.5,101.0,3.85
47,Wyoming,11,2002,11.02,105.7,94.6,69.5,0.032,3.59,104.0,100.5,-4.39
48,Boston College,11,2002,9.95,107.2,97.3,70.3,0.04,7.14,104.1,97.0,-0.35
49,San Diego St.,13,2002,9.32,104.8,95.5,71.4,0.055,5.6,105.2,99.6,1.44
50,St. John's,9,2002,9.03,100.6,91.6,70.9,0.089,7.23,105.4,98.1,0.89
51,UC Santa Barbara,14,2002,8.9,106.1,97.2,64.8,-0.058,0.23,101.4,101.2,2.86
52,McNeese St.,14,2002,5.38,101.1,95.7,68.3,0.023,-5.14,97.8,102.9,7.24
53,Hampton,15,2002,3.99,107.8,103.8,70.4,0.014,-9.67,96.3,105.9,-1.9
54,Illinois Chicago,15,2002,3.88,106.9,103.0,69.2,0.04,1.5,102.3,100.8,-0.14
55,Davidson,13,2002,3.66,99.4,95.7,67.5,0.143,1.14,102.4,101.3,6.33
56,Murray St.,14,2002,1.37,104.7,103.4,71.0,0.018,-1.76,101.6,103.4,3.54
57,Central Connecticut,14,2002,0.9,98.5,97.6,66.2,0.138,-11.29,96.2,107.5,-3.19
58,Holy Cross,16,2002,-0.3,96.0,96.3,64.3,-0.048,-6.54,97.9,104.4,-3.17
59,Siena,16,2002,-1.2,98.6,99.8,68.9,-0.07,-3.9,98.7,102.6,-1.15
60,Florida Atlantic,15,2002,-2.48,97.5,100.0,71.6,0.061,-5.12,100.3,105.4,-5.36
61,Boston University,16,2002,-2.79,99.1,101.9,65.9,0.102,-9.64,95.7,105.3,-2.35
62,Montana,15,2002,-4.49,100.3,104.8,70.4,0.053,-2.12,101.6,103.7,0.67
63,Winthrop,16,2002,-5.33,95.2,100.5,68.0,0.039,-10.81,95.4,106.2,-1.4
64,Alcorn St.,16,2002,-8.69,98.1,106.8,74.2,0.097,-15.24,93.2,108.4,-2.29
